species.iucn,species,range,exotic,IUCN,commercial_status,aquarium,other threat 1,other threat 2,source,
,anthias anthias,Med + Atlantic,no,LC,aquarium-trade,yes,,,,
,apogon imberbis,Med + Atlantic,no,LC,NC,rare,,,,
,atherina boyeri,Med + Atlantic,no,DD,C-sp,rare,,,,"potentially negatively impacted by spearfishing, trammel nets and longline fishing"
,chromis chromis,Med + Atlantic,no,LC,NC,no,,,,
,corcyrogobius liechtensteini,,,,NC,,,,,
,coris julis,Med + Atlantic,no,LC,aquarium-trade,yes,,,,
,dentex dentex,Med + Atlantic,no,VU,C,no,habitat degradation (pollution),,,
diplecogaster bimaculata,diplecogaster sp.,,,,NC,,,,,
,diplodus annularis,Med + Atlantic,no,LC,LC,no,,,,
,diplodus puntazzo,Med + Atlantic,no,LC,C,no,habitat degradation (pollution),,,
,diplodus vulgaris,Med + Atlantic,no,LC,C,no,natural system modifications,,,
,epinephelus costae,Med + Atlantic,no,DD,C,no,,,,
gobius auratus,gobie sp,Med ,no,LC,NC,no,,,,
,gobius auratus,Med ,no,LC,NC,no,,,,
,gobius cruentatus,Med + Atlantic,no,LC,NC,no,,,,
,gobius fallax/geniporus,Med + Atlantic,no,LC,LC,no,,,,
,gobius geniporus,Med ,no,LC,NC,no,,,,
,gobius vittatus,Med,no,LC,NC,no,,,,
,lappanella fasciata,Med + Atlantic,no,LC,NC,no,habitat degradation (pollution),,,
,lepadogaster candolii,,,,NC,,,,,
,millerigobius macrocephalus,,,,no,,,,,
,mullus surmuletus,Med + Atlantic,no,LC,NC,no,,,,
,muraena helena,Med + Atlantic ,no,LC,C,yes,,,,
,oblada melanura,Med + Atlantic,no,LC,C,no,localized population decline,,,
,pagrus pagrus,Med + Atlantic ,no,LC,NC,no,habitat degradation (pollution),invasive species ,,
,parablennius rouxi,,,,LC,,,,,
,parupeneus forsskali,Red Sea,yes,LC,C,no,,,,
,phycis phycis,Med + Atlantic ,no,LC,NC,no,habitat degradation (pollution),,,
,pterois miles,Indian,yes,LC,C,yes,,,"Whitfield, P.E., Hare, J.A., David, A.W., Harter, S.L., Munoz, R.C. and Addison, C.M. 2007. Abundance estimates of the Indo-Pacific lionfish Pterois volitans/miles complex in the Western North Atlantic. Biological Invasions 9: 53–64.
",
,scorpaena loppei,Med + Atlantic ,no,LC,C,no,,,,
,scorpaena maderensis,,,,C,,,,,
,scorpaena notata,,,,C,,,,,
,scorpaena porcus,,,,LC,,,,,
,serranus cabrilla,Med + Atlantic,no,LC,LC,no,,,,
,serranus scriba,Med + Atlantic,no,LC,LC,no,,,,
,siganus luridus,Med + Indian,yes,LC,LC,no,,,,
,sparisoma cretense,Med + Atlantic,no,LC,LC,no,,,,
,spicara maena,Med + Atlantic,no,LC,C,no,habitat degradation (pollution),,,
,spondyliosoma cantharus,Med + Atlantic,no,LC,LC,no,habitat degradation (pollution),,"important commercial and food fish, and it is exploited in European waters by recreational and commercial fishers during its breeding season",
,symphodus cinereus,Med,no,LC,NC,no,habitat degradation (pollution),,,
,symphodus doderleini,Med,no,LC,LC,no,habitat degradation (pollution),,"like most other small wrasses, it is probably occasionally sold for use in fish soup when caught in Mediterranean small-scale artisanal fisheries.",
,symphodus mediterraneus,Med + Atlantic,no,LC,NC,no,,,,
,symphodus melanocercus,Med,no,LC,LC,no,invasive species,pollution,,
,symphodus melops,Med + Atlantic ,no,LC,NC,no,,,,
,symphodus ocellatus,Med,no,LC,LC,no,invasive species ,pollution,,
,symphodus roissali,Med + Atlantic,no,LC,NC,no,invasive species,,,
,symphodus rostratus,Med,no,LC,LC,no,habitat degradation (pollution),invasive species ,,
,symphodus tinca,Med + Atlantic,no,LC,LC,no,,,,
,thalassoma pavo,Med + Atlantic,no,LC,aquarium-trade,yes,,,,
,thorogobius macrolepis,,,,C,,,,,
,thunnus thynnus,Med + Atlantic ,no,LC,NC,no,habitat degradation (pollution),,,
,tripterygion delaisi,Med + Atlantic,no,LC,NC,no,,,,
,vanneaugobius dollfusi,,,,,,,,,
