fb_code,Class,Order,Family,Genus,species,Home_range,Diel_activity,Size_group,Level_water,TempOccurrence_min,TempOccurrence_mean,TempOccurrence_max,Body_size_max,Size_class,Body_shape,Aspect_ratio,Nphoto,Caudal_fin,Mouth_position,Trophic_level,Diet,Spawning,Depth_min,Depth_max,Depth_range,Allometric_a,Allometric_b,Level_length_weight,PLD,PLD_level,Life_span,Geographic_range_index,Range_extension,Lat_Max_South,Lat_Max_North,Province_2,Province_3,Province_4,Province_6,Province_7,Province_10,Province_11,Province_12,Province_13,Province_14,Province_15,Province_16,Province_17,Province_43,Province_44,Province_45,Province_46,Province_47,Province_48,Province_50,Total_OcuProv,AT,EP,IUCN_status,Vulnerability,Price_category,
972,actinopterygii,beloniformes,belonidae,ablennes,ablennes hians,vmob,both,largeg,high,"23,45","25,98","28,61",140,s6,elongated,"198,231",1,forked,elongated,"4,5",fc,demersal,0,3,3,"0,00074","3,13",species,NA,,NA,335,native,-12,"34,7",0,0,0,1,0,0,1,1,0,0,0,1,1,1,1,1,0,0,0,0,8,1,1,lc,"39,61",high,
11793,actinopterygii,perciformes,pomacentridae,abudefduf,abudefduf concolor,mob,day,smallg,low,"24,31","25,75","27,26",19,s3,compressed,"175,538",1,forked,terminal,"2,7",om,demersal,1,5,4,"0,021276044","3,151,969,035",species,"20,85",species,NA,19,native,-12,"13,07",0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,0,0,0,0,3,0,1,lc,"28,6",not_targeted,
55868,actinopterygii,perciformes,pomacentridae,abudefduf,abudefduf declivifrons,mob,day,smallg,low,"22,78","25,48","28,54",18,s3,compressed,"301,405",1,forked,terminal,"2,7",om,demersal,1,5,4,"0,021276044","3,151,969,035",species,"21,9",species,NA,19,native,"9,6","30,3",0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,2,0,1,lc,"33,49",not_targeted,
11811,actinopterygii,perciformes,pomacentridae,abudefduf,abudefduf hoefleri,mob,day,smallg,low,"23,5","25,5","27,88",20,s3,compressed,"163,281",1,forked,terminal,"2,7",om,demersal,0,20,20,"0,021276044","3,151,969,035",genus,"23,5",genus,NA,8,native,"0,19","15,63",0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,2,1,0,dd,"29,33",not_targeted,
1119,actinopterygii,perciformes,pomacentridae,abudefduf,abudefduf saxatilis,mob,day,smallg,low,"22,18","24,88","27,81",23,s3,compressed,"153,883",1,forked,terminal,"3,8",om,demersal,0,40,40,"0,02274279","3,142",species,"24,45",species,NA,89,native,"-35,3","34,7",0,1,0,1,0,0,0,1,1,1,1,1,1,0,0,1,0,1,0,0,10,1,1,lc,"31,15",not_targeted,
1120,actinopterygii,perciformes,pomacentridae,abudefduf,abudefduf taurus,mob,day,smallg,low,"23,73","26,44","29,24",25,s3,compressed,"145,573",1,forked,terminal,"2,1",hd,demersal,1,5,4,"0,021276044","3,151,969,035",genus,"18,1",species,NA,48,native,"0,19","34,7",0,0,0,1,0,0,0,1,0,0,0,1,1,0,0,0,0,0,0,0,4,1,0,lc,"32,37",not_targeted,
8245,actinopterygii,perciformes,pomacentridae,abudefduf,abudefduf troschelii,mob,day,smallg,low,"22,89","24,86","27,08",20,s3,compressed,"245,235",1,forked,terminal,3,pk,demersal,1,20,19,"0,021276044","3,151,969,035",species,"21,13",species,NA,34,native,-12,"37,4",0,0,0,0,0,1,1,0,0,0,0,0,0,1,1,1,0,0,0,0,5,0,1,lc,"29,33",not_targeted,
6630,actinopterygii,perciformes,pomacentridae,abudefduf,abudefduf vaigiensis,mob,day,smallg,low,"14,02",19,"25,4",20,s3,compressed,"2,126,814,444",9,forked,terminal,"2,6",pk,demersal,1,15,14,"0,03","2,8",species,"20,7",species,NA,298,lessepsian,"32,9","42,73",0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,lc,16,not_targeted,
3708,actinopterygii,perciformes,chaenopsidae,acanthemblemaria,acanthemblemaria aspera,sed,day,sol,bottom,"24,98","27,22","29,54",4,s1,elongated,NA,NA,rounded,subterminal,"3,1",pk,demersal,0,12,12,"0,007705413","2,962",genus,"52,3",species,4,28,native,"11,8",27,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,lc,"21,24",not_targeted,
60573,actinopterygii,perciformes,chaenopsidae,acanthemblemaria,acanthemblemaria atrata,sed,day,sol,bottom,26,"27,44",29,"3,2",s1,elongated,NA,NA,rounded,subterminal,"3,3",pk,demersal,5,31,26,"0,007705413","2,962",species,"55,2",genus,NA,1,native,"5,53","5,53",0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,1,vu,10,not_targeted,
