Genus,Species,Family,cryptic,length,Station,Depth,site,forest,Habitat
Scorpaena,loppei,Scorpaenidae,yes,105,TRI24-01,60,Trikeri,in,black corals on rocky outcrops
Anthias,anthias,Anthiadidae,no,65,TRI24-01,60,Trikeri,in,black corals on rocky outcrops
Gobius,vittatus,Gobiidae,yes,40,TRI24-01,60,Trikeri,in,black corals on rocky outcrops
Scorpaena,porcus,Scorpaenidae,yes,57,TRI24-02,60,Trikeri,in,black corals on rocky outcrops
Vanneaugobius,dollfusi,Gobiidae,yes,45,TRI24-02,60,Trikeri,in,black corals on rocky outcrops
Gobius,vittatus,Gobiidae,yes,40,TRI24-02,60,Trikeri,in,black corals on rocky outcrops
Gobius,auratus,Gobiidae,yes,40,TRI24-02,60,Trikeri,in,black corals on rocky outcrops
Gobius,vittatus,Gobiidae,yes,30,TRI24-02,60,Trikeri,in,black corals on rocky outcrops
Gobius,vittatus,Gobiidae,yes,50,TRI24-02,60,Trikeri,in,black corals on rocky outcrops
Gobius,vittatus,Gobiidae,yes,34,TRI24-03,60,Trikeri,in,sponge on rocky outcrops
Vanneaugobius,dollfusi,Gobiidae,yes,30,TRI24-05,50,Trikeri,in,black corals on rocky outcrops
Gobius,auratus,Gobiidae,yes,30,TRI24-06,50,Trikeri,in,black corals on rocky outcrops
Gobius,auratus,Gobiidae,yes,35,TRI24-06,50,Trikeri,in,black corals on rocky outcrops
Thorogobius,macrolepis,Gobiidae,yes,35,TRI24-06,50,Trikeri,in,black corals on rocky outcrops
Gobius,vittatus,Gobiidae,yes,40,TRI24-07,40,Trikeri,out,"rocky outcrop, algae + sponge"
Thorogobius,macrolepis,Gobiidae,yes,33,TRI24-07,40,Trikeri,out,"rocky outcrop, algae + sponge"
Thorogobius,macrolepis,Gobiidae,yes,48,TRI24-07,40,Trikeri,out,"rocky outcrop, algae + sponge"
Gobius,auratus,Gobiidae,yes,48,TRI24-07,40,Trikeri,out,"rocky outcrop, algae + sponge"
