species,family,transect,stations,fourni,pigadi,depth range ,commercial status,trophic group,Farre,Quimbayo_2020,Stergiou,Ardnt,Sala,fb_code,Class,Order,Family,Genus,Species,Name,mobility,activity,size,position,diet,spawning
apogon imberbis,apogonidae,yes,yes,yes,no,10 to 40,NC,carnivore,,,,,,1692,actinopterygii,perciformes,serranidae,anthias,anthias,Anthias anthias,sed,day,medg,low,im,pelagic
atherina boyeri,atherinidae,yes,no,yes,no,10 to 80,C-sp,omnivore,,,,,,,,,,,,,,,,,,
parablennius rouxi,blennidae,no,yes,yes,no,90,NC,omnivore,,,,,,,,,,,,,,,,,,
diplecogaster sp.,gobiesocidae,no,yes,yes,no,87,NC,omnivore,EPIB,,,,,,,,,,,,,,,,,
lepadogaster candolii,gobiesocidae,no,yes,no,yes,10,NC,omnivore,,,,,,,,,,,,,,,,,,
corcyrogobius liechtensteini,gobiidae,no,yes,no,yes,10 to 30,NC,carnivore,,,,,,,,,,,,,,,,,,
gobius auratus,gobiidae,yes,yes,yes,yes,20 to 50,NC,omnivore,NS,,,,,,,,,,,,,,,,,
gobius cruentatus,gobiidae,yes,yes,no,yes,10 to 30,NC,omnivore,NS,,,,,,,,,,,,,,,,,
gobius fallax,gobiidae,yes,yes,yes,yes,20 to 90,NC,omnivore,NS,,,,,,,,,,,,,,,,,
gobius geniporus,gobiidae,yes,yes,no,yes,10 to 30,LC,omnivore,NS,,,,,,,,,,,,,,,,,
gobius vittatus,gobiidae,yes,yes,yes,yes,10 to 85,NC,omnivore,NS,,,,,,,,,,,,,,,,,
millerigobius macrocephalus,gobiidae,no,yes,no,yes,10 to 20,NC,carnivore,,,,,,,,,,,,,,,,,,
thorogobius macrolepis,gobiidae,no,yes,yes,yes,40 to 90,NC,carnivore,,,,,,,,,,,,,,,,,,
vanneaugobius dollfusi,gobiidae,no,yes,yes,yes,50 to 90,NC,carnivore,,,,,,,,,,,,,,,,,,
coris julis,labridae,yes,yes,yes,yes,10 to 90,NC,omnivore,EPIB,,,,,,,,,,,,,,,,,
lappanella fasciata,labridae,yes,no,yes,no,80 to 90,NC,carnivore,,,,,,,,,,,,,,,,,,
symphodus cinereus,labridae,yes,no,no,yes,10,LC,omnivore,,,,,,,,,,,,,,,,,,
symphodus doderleini,labridae,yes,no,yes,yes,10 to 40,NC,omnivore,,,,,,,,,,,,,,,,,,
symphodus mediterraneus,labridae,yes,no,yes,yes,10 to 40,LC,omnivore,,,,,,,,,,,,,,,,,,
symphodus melanocercus,labridae,yes,no,yes,no,30 to 40,NC,omnivore,,,,,,,,,,,,,,,,,,
symphodus melops,labridae,yes,no,no,yes,10,LC,carnivore,,,,,,,,,,,,,,,,,,
symphodus ocellatus,labridae,yes,no,yes,no,20,NC,omnivore,,,,,,,,,,,,,,,,,,
symphodus roissali,labridae,yes,no,yes,yes,10 to 20,LC,omnivore,,,,,,,,,,,,,,,,,,
symphodus rostratus,labridae,yes,no,no,yes,10,NC,omnivore,,,,,,,,,,,,,,,,,,
symphodus tinca,labridae,yes,no,no,yes,10,LC,omnivore,,,,,,,,,,,,,,,,,,
thalassoma pavo,labridae,yes,no,yes,no,10 to 30,LC,omnivore,,,,,,,,,,,,,,,,,,
mulus surmuletus,mullidae,yes,no,no,yes,50 to 60,C,omnivore,INF,,,,,,,,,,,,,,,,,
parupeneus forsskali,mullidae,yes,no,yes,no,10,LC,carnivore,,,,,,,,,,,,,,,,,,
muraena helena,muraenidae,yes,no,no,yes,20,NC,carnivore,,,,,,,,,,,,,,,,,,
phycis phycis,phycidae,yes,no,no,yes,50,C,carnivore,INF,,,,,,,,,,,,,,,,,
chromis chromis,pomacentridae,yes,no,yes,yes,10 to 50,NC,omnivore,,,,,,,,,,,,,,,,,,
sparisoma cretense,scaridae,yes,no,yes,no,10 to 40,LC,grazer,,,,,,,,,,,,,,,,,,
thunnus thynnus,scombridae,yes,no,no,yes,30,C,carnivore,,,,,,,,,,,,,,,,,,
pterois miles,scorpaenidae,yes,no,yes,no,30,NC,carnivore,,,,,,,,,,,,,,,,,,
scorpaena loppei,scorpaenidae,yes,no,yes,yes,20,C,omnivore,,,,,,,,,,,,,,,,,,
scorpaena maderensis,scorpaenidae,no,yes,yes,yes,,C,carnivore,,,,,,,,,,,,,,,,,,
scorpaena notata,scorpaenidae,no,yes,no,yes,30,C,omnivore,NS,,,,,,,,,,,,,,,,,
scorpaena porcus,scorpaenidae,no,yes,no,yes,10 to 60,C,omnivore,NS,,,,,,,,,,,,,,,,,
anthias anthias,serranidae,yes,yes,yes,yes,40 to 90,NC,carnivore,,mobile invertivore,,,,,,,,,,,,,,,,
epinephelus costae,Serranidae,yes,no,no,yes,20 to 30,C,carnivore,,,,,,,,,,,,,,,,,,
serranus cabrilla,serranidae,yes,no,yes,yes,10 to 90,LC,carnivore,INF,,,,,,,,,,,,,,,,,
serranus scriba,serranidae,yes,no,yes,yes,10 to 30,LC,carnivore,,,,,,,,,,,,,,,,,,
siganus luridus,siganidae,yes,no,yes,no,10 to 20,LC,grazer,,,,,,,,,,,,,,,,,,
dentex dentex,sparidae,yes,no,yes,yes,30 to 80,C,carnivore,,,,,,,,,,,,,,,,,,
diplodus annularis,sparidae,yes,no,yes,yes,20 to 55,LC,omnivore,EPIB,,,,,,,,,,,,,,,,,
diplodus puntazzo,sparidae,yes,no,no,yes,10,C,omnivore,EPIB,,,,,,,,,,,,,,,,,
diplodus vulgaris,sparidae,yes,no,yes,yes,10 to 90,C,omnivore,INF,,,,,,,,,,,,,,,,,
oblada melanura,sparidae,yes,no,no,yes,20,C,omnivore,,,,,,,,,,,,,,,,,,
pagrus pagrus,sparidae,yes,no,no,yes,10 to 55,C,omnivore,NS,,,,,,,,,,,,,,,,,
spicara maena,sparidae,yes,no,yes,no,10 to 90,LC,carnivore,nmM,,,,,,,,,,,,,,,,,
spondyliosoma cantharus,sparidae,yes,no,yes,yes,10 to 55,C,omnivore,EPIB,,,,,,,,,,,,,,,,,
tripterygion delaisi,tripterygiidae,yes,yes,no,yes,10 to 30,NC,carnivore,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
